RPeakID,RPeakTime,ParticipantID
1,0.232,31
2,0.747,31
3,1.53,31
4,2.372,31
5,3.257,31
6,4.159,31
7,5.06,31
8,5.953,31
9,6.818,31
10,7.591,31
11,8.294,31
12,8.984,31
13,9.695,31
14,10.462,31
15,11.32,31
16,12.209,31
17,12.661,31
18,13.115,31
19,14.028,31
20,14.928,31
21,15.827,31
22,16.712,31
23,17.576,31
24,18.424,31
25,19.277,31
26,20.146,31
27,21.022,31
28,21.848,31
29,22.696,31
30,23.518,31
31,24.355,31
32,25.164,31
33,25.936,31
34,26.742,31
35,27.549,31
36,28.36,31
37,29.141,31
38,29.901,31
39,30.676,31
40,31.433,31
41,32.232,31
42,33,31
43,33.795,31
44,34.615,31
45,35.456,31
46,36.277,31
47,37.075,31
48,37.885,31
49,38.686,31
50,39.458,31
51,40.259,31
52,41.068,31
53,41.865,31
54,42.683,31
55,43.518,31
56,44.346,31
57,45.154,31
58,45.981,31
59,46.798,31
60,47.589,31
61,48.351,31
62,49.117,31
63,49.892,31
64,50.659,31
65,51.422,31
66,52.213,31
67,53.03,31
68,53.84,31
69,54.649,31
70,55.466,31
71,56.272,31
72,57.043,31
73,57.832,31
74,58.627,31
75,59.4,31
76,60.183,31
77,61.009,31
78,61.847,31
79,62.675,31
80,63.497,31
1,0.01,32
2,0.547,32
3,1.317,32
4,2.063,32
5,2.809,32
6,3.514,32
7,4.212,32
8,4.897,32
9,5.577,32
10,6.248,32
11,6.934,32
12,7.605,32
13,8.276,32
14,8.933,32
15,9.596,32
16,10.279,32
17,10.966,32
18,11.625,32
19,12.301,32
20,12.986,32
21,13.668,32
22,14.381,32
23,15.095,32
24,15.782,32
25,16.497,32
26,17.208,32
27,17.903,32
28,18.597,32
29,19.322,32
30,20.025,32
31,20.752,32
32,21.485,32
33,22.182,32
34,22.883,32
35,23.592,32
36,24.285,32
37,24.99,32
38,25.7,32
39,26.395,32
40,27.134,32
41,27.847,32
42,28.546,32
43,29.281,32
44,30.026,32
45,30.744,32
46,31.431,32
47,32.142,32
48,32.857,32
49,33.574,32
50,34.255,32
51,34.971,32
52,35.71,32
